Year,Make,Model,Seller,Location,VIN,Mileage,BodyStyle,Engine,Drivetrain,Transmission,ExteriorColor,InteriorColor,TitleStatus,SellerType,Price,Reserve,Horsepower,Torque
2002,BMW,M5,noamer705,"La Puente, CA 91746",WBSDE93472CF90376,"162,300",Sedan,4.9L V8,Rear-wheel drive,Manual (6-Speed),Sterling Gray,Black,Clean (CA),Private Party,"$24,200",No reserve,"[('394', '')]",['368']
2002,BMW,M5,NJ3,"Los Angeles, CA 90065",WBSDE93472CF90376,"161,288",Sedan,4.9L V8,Rear-wheel drive,Manual (6-speed manual),Sterling Gray,Black,Clean (AZ),Private Party,"$23,600",Has reserve,"[('394', '')]",['368']
2003,BMW,M5,SamKhan,"Austin, TX 78751",WBSDE93443CF93270,"139,300",Sedan,4.9L V8,Rear-wheel drive,Manual (6-Speed),Carbon Black,Black,Clean (TX),Private Party,"$20,500",Has reserve,"[('394', '')]",['369']
2001,BMW,M5,Bigktx,"Ennis, TX 75119",WBSDE93411BZ98227,"155,700",Sedan,4.9L V8,Rear-wheel drive,Manual (6-Speed),Titanium Silver,Black,Clean (TX),Private Party,"$20,000",Has reserve,"[('394', '')]",['368']
2001,BMW,M5,E39M5,"Springboro, OH 45066",WBSDE93401BZ99417,"97,400",Sedan,4.9L V8,Rear-wheel drive,Manual (6-speed),Titanium Silver Metallic,Black,Clean (OH),Private Party,"$16,000",Has reserve,"[('394', '')]",['368']
2000,BMW,M5,MikeBMWM5,"Perrysburg, OH 43551",WBSDE9347YBZ96895,"152,000",Sedan,4.9L V8,Rear-wheel drive,Manual (6-Speed),Silverstone Metallic,Black,Clean (OH),Private Party,"$15,750",Has reserve,"[('394', '')]",['368']
2001,BMW,M5,Mfan5,"Putnam Valley, NY 10579",WBSDE93421BZ98656,"137,600",Sedan,4.9L V8,Rear-wheel drive,Manual (6-Speed),Titanium Silver Metallic,Black,Clean (NY) ,Private Party,"$15,001",Has reserve,"[('394', '')]",['368']
2003,BMW,M5,classicshine,"Lancaster, PA 17603",WBSDE93423CF93686,"195,500",Sedan,4.9L V8,Rear-wheel drive,Manual (6-Speed),Jet Black,Black,Clean (PA),Dealer,"$13,100",Has reserve,"[('394', '')]",['369']
2014,Porsche,911,DPace,"Atlantic Beach, FL 32233",WP0AB2A9XES121816,"39,500",Coupe,3.8L Flat-6,4WD/AWD,Automatic (7-Speed),Basalt Black Metallic,Black,Clean (CA),Private Party,"$65,000",Has reserve,"[('395', '')]",['325']
2006,Maserati,Quattroporte,ahannold,"Carlisle, PA 17015",ZAMCE39A260023764,"26,100",Sedan,4.2L V8,Rear-wheel drive,Automatic (6-Speed),Grigio Nuvolari Metallic,Grigio Chiaro,Clean (PA),Private Party,"$13,650",Has reserve,"[('395', '')]",['326']
2019,BMW,M2,blake,"San Diego, CA 92110",WBS2U7C53K7D17256,"8,800",Coupe,3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Hockenheim Silver Metallic,Black Dakota,Clean (CA),Private Party,"$54,500",No reserve,"[('40', ''), ('405', '')]",['406']
2019,BMW,M2,ABQ_Cars,"Albuquerque, NM 87110",WBS2U7C52KVJ07658,"4,900",Coupe,3.0L twin turbocharged I6,Rear-wheel drive,Manual (6-Speed),Long Beach Blue,Black Dakota,Clean,Private Party,"$52,000",Has reserve,"[('40', ''), ('405', '')]",['406']
2017,Porsche,911 Turbo,motera,"Marina del Rey, CA 90292",WP0AD2A98HS166669,"45,400",Coupe,3.8L H6,4WD/AWD,Automatic (7-Speed),Carrara White Metallic,Bordeaux Red,Clean (CA),Private Party,"$99,120",Has reserve,"[('40', ''), ('580', '')]","['516', '553']"
2000,BMW,740i,blueoval4life,"Wheaton, IL 60189",WBAGG8345YDN76739,"144,300",Sedan,4.9L V8,Rear-wheel drive,Manual (6-Speed),Titanium Silver,Black,Clean (IL),Private Party,"$18,500",Has reserve,"[('400', ''), ('282', '')]","['369', '324']"
2007,Chevrolet,Corvette,Lucky13,"Forest Lake, MN 55025",1G1YY25U275104353,"49,300",Coupe,6.0L V8,Rear-wheel drive,Manual (6-Speed),Red,Black,Clean (MN),Private Party,Cancelled,Has reserve,"[('400', '')]",['400']
2000,Ferrari,360,AParreira86,"Shrewsbury, MA 01545",ZFFYT53B000122605,"11,000",Convertible,3.6L V8,Rear-wheel drive,Automatic (6-speed),Argento Nurburgring,Nero,Clean (NH),Dealer,"$66,000",Has reserve,"[('400', '')]",['276']
2002,Ferrari,360,spagmag,"New Hope, PA 18938",ZFFYT53A320127552,"23,100",Convertible,3.6L V8,Rear-wheel drive,Automatic (6-Speed),Grigio Alloy,Dark blue,Clean (MT),Private Party,"$62,500",Has reserve,"[('400', '')]",['276']
2003,Ferrari,360,AMCguy,"Toronto, ON, Canada",ZFFYT53A730133114,"24,000",Convertible,3.6L V8,Rear-wheel drive,Manual (6-Speed),Grigio Alloy,Blue,Clean (ON),Dealer,"$61,000",Has reserve,"[('400', '')]",['276']
2018,Lotus,Evora,Tye_bo,"Frisco, TX 75034",SCCLMDVNXJHA10486,"7,500",Coupe,3.5L Supercharged V6,Rear-wheel drive,Manual (6-speed),Metallic Black,Charcoal,Clean,Private Party,"$60,000",Has reserve,"[('400', '')]",['302']
2013,Porsche,911,bpag,"Seattle, WA 98125",WP0AB2A97DS122064,"23,400",Coupe,3.8L Flat-6,4WD/AWD,Automatic (7-speed),Black,Black,Clean (OR),Dealer,"$59,991",Has reserve,"[('400', '')]",325 
2013,Porsche,911,JHoskins,"Greensboro, NC 27410",WP0AB2A94DS122913,"47,500",Coupe,3.8L H6,Rear-wheel drive,Manual (7-Speed),Black,Black,Clean (NC) ,Private Party,"$57,500",Has reserve,"[('400', '')]",['325']
1999,Ferrari,360,merkurman,"Toledo, OH 43615",ZFFYR51A8X0117544,"43,800",Coupe,3.6L  V8,Rear-wheel drive,Automatic (6-Speed F1),Grigio Alloy,Blue,Clean (OH),Private Party,"$52,500",Has reserve,"[('400', '')]",['275']
2017,Porsche,Macan,nekodan,"Mountain View, CA 94043",WP1AF2A51HLB60020,"40,500",SUV/Crossover,3.6L Turbocharged V6,4WD/AWD,Automatic (7-Speed),Carrara White Metallic,Black,Clean (CA),Private Party,"$50,800",Has reserve,"[('400', '')]",['406']
2003,BMW,M5,edeutcher,"Greeley, CO 80634",WBSDE93453CF93164,"60,500",Sedan,4.9L V8,Rear-wheel drive,Manual (6-Speed),Le Mans Blue,Blue/Black,Clean (DC),Private Party,"$38,001",Has reserve,"[('400', '')]",['369']
2007,Maserati,Quattroporte,jaybird1,"Hoschton, GA 30548",ZAMFE39A170031062,"9,900",Sedan,4.2L V8,Rear-wheel drive,Automatic (6-Speed),Bianco Eldorado,Beige,Clean (GA),Private Party,"$30,000",Has reserve,"[('400', '')]",['332']
2002,BMW,M5,M5guy,"Lake Zurich, IL 60047",WBSDE93402CF91711,"123,000",Sedan,4.9L V8,Rear-wheel drive,Manual (6-Speed),Sterling Gray,Black,Clean (IL),Private Party,"$27,250",No reserve,"[('400', '')]",['369']
2009,Jaguar,XJ,ChicagoCPA,"West Dundee, IL 60118",SAJWA94C69TH30057,"71,600",Sedan,4.2L V8,Rear-wheel drive,Automatic (6-Speed),Astral Gold,Ivory/Navy,Clean (IL),Private Party,"$26,100",Has reserve,"[('400', '')]",['413']
2011,Porsche,Panamera,Lucky13,"Forest Lake, MN 55025",WP0AB2A70BL061727,"85,100",Sedan,4.8L V8,4WD/AWD,Automatic (7-speed),Yachting Blue Metallic,Yacht Blue and Crema,Clean (MN),Private Party,"$23,700",No reserve,"[('400', '')]",['369']
2002,BMW,M5,R_R8T3D,"Purcellville, VA 20132",WBSDE93422CF91581,"137,000",Sedan,4.9L V8,Rear-wheel drive,Manual (6-Speed),Jet Black,Black,Clean (VA),Private Party,"$23,000",No reserve,"[('400', '')]",['369']
2006,Pontiac,GTO,SonnyC,"Rochester, NY 14607",6G2VX12U56L553488,"19,800",Coupe,6.0L V8,Rear-wheel drive,Manual (6-speed),Brazen Orange Metallic,Black,Clean (NY),Private Party,"$20,350",Has reserve,"[('400', '')]",['400']
2008,Maserati,Quattroporte,dangertomanifold,"Old Westbury, NY 11568",ZAMFE39A080039168,"16,300",Sedan,4.2L V8,Rear-wheel drive,Automatic (6-speed),Blue Ocean,Beige,Clean (FL),Private Party,"$20,300",Has reserve,"[('400', '')]",['339']
2001,BMW,M5,DoubleD123,"Rancho Santa Fe, CA 92067",WBSDE93431BZ98911,"162,100",Sedan,4.9L V8,Rear-wheel drive,Manual (6-Speed),Titanium Silver Metallic,Black/Silverstone,Clean (CA),Private Party,"$18,555",No reserve,"[('400', '')]",['369']
2005,Cadillac,CTS-V,PeteS,"Cohoes, NY 12047",1G6DN56S150130937,"28,200",Sedan,5.7L V8,Rear-wheel drive,Manual (6-speed), Red Line Metallic,Tan,Clean (NY),Private Party,"$17,500",Has reserve,"[('400', '')]",['395']
2011,BMW,550i,SixSpeedSteve,"Mount Pleasant, SC 29464",WBAFR9C54BC271332,"59,700",Sedan,4.4L Turbocharged V8,Rear-wheel drive,Manual (6-speed),Carbon Black,Oyster,Clean (SC),Private Party,"$17,000",No reserve,"[('400', '')]",['450']
2012,BMW,650i,MACMAN,"Westlake, OH 44145",WBALZ3C59CDL71406,"98,100",Convertible,4.4L V8,Rear-wheel drive,Automatic (8-Speed),Black Sapphire,Cinnamon ,Clean (OH),Private Party,"$16,200",Has reserve,"[('400', '')]",['450']
2002,BMW,M5,niconino9,"Calgary AB, Canada",WBSDE93402CF91207,"120,400",Sedan,4.9L V8,Rear-wheel drive,Manual (6-Speed),Titanium Silver,Black,Clean (AB),Private Party,"$12,800",Has reserve,"[('400', '')]",['369']
2008,Land Rover,Range Rover,bencars,"Breckenridge, CO 80424",SALMF13448A293937,"121,100",SUV/Crossover,4.2L supercharged V8,4WD/AWD,Automatic (6-speed),White,Black,Clean (CO),Private Party,"$12,500",No reserve,"[('400', '')]",['420']
2006,Pontiac,GTO,Tango6,"Huntington Woods, MI 48070",6G2VX12UX6L830426,"91,900",Coupe,6.0L V8,Rear-wheel drive,Automatic (4-speed),Torrid Red,Red/Black,Clean (MI),Private Party,"$10,000",Has reserve,"[('400', '')]",['400']
2014,Mercedes-Benz,E550,bperwien,"Broomall, PA 19008",WDDHF9BBXEB009620,"76,500",Sedan,4.6L Turbocharged V8,4WD/AWD,Automatic (7-speed),Black,Black,Clean (PA),Private Party,"$27,500",Has reserve,"[('402', ''), ('540', '')]","['443', '705']"
2008,Aston Martin,V8 Vantage,Brad1,"McLean, VA 22102",SCFBF04B58GD08761,"23,400",Convertible,4.3L V8,Rear-wheel drive,Automatic (6-speed),Slate Blue,Beige,Clean (VA),Private Party,"$44,500",Has reserve,"[('405', ''), ('', '25')]","['309', '7']"
2019,BMW,M2,elmuchador,"Marina Del Rey, CA 90292",WBS2U7C52KVJ07451,"7,100",Coupe,3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-speed),Long Beach Blue,Black,Clean (CA),Private Party,"$47,500",Has reserve,"[('405', '')]",['406']
2010,Porsche,Cayenne,bimmerguy,"Lexington, KY 40502",WP1AD2AP1ALA62117,"43,900",SUV/Crossover,4.8L V8,4WD/AWD,Automatic (6-Speed),Meteor Gray Metallic,Black,Clean (KY),Private Party,"$17,750",Has reserve,"[('405', '')]",['369']
2002,Chevrolet,Corvette,ncavopol,"Dublin, OH 43016",1G1YY12S325122754,"149,900",Coupe,5.7L V8,Rear-wheel drive,Manual (6-Speed),Orange,Black,Clean (OH),Private Party,"$13,000",No reserve,"[('405', '')]",['400']
2012,Porsche,911,ggoodlife,"Baton Rouge, LA 70808",WP0AB2A93CS720652,"53,800",Coupe,3.8L Flat-6,Rear-wheel drive,Automatic (7-Speed),Platinum Silver Metallic,Black,Clean (LA),Private Party,"$59,441",No reserve,"[('408', '')]",['310']
2011,BMW,550i,danevosler,"Riverview, SC 29708",WBAFR9C57BC271129,"112,072",Sedan,4.4L Turbocharged V8,Rear-wheel drive,Manual (6-speed),Sophisto Grey,Brown,Clean (SC),Private Party,"$14,700",Has reserve,"[('408', '')]",450 
1990,Rover,Mini,leeofx,"Bountiful, UT 84010",SAXXL2S1020454317,"85,000",Hatchback,1.0L I-4,Front-wheel drive,Manual (4-speed),Blue,Black and White,Clean (UT),Private Party,"$7,401",No reserve,"[('41', '')]",['50']
2014,Ford,F-150 Raptor,BidCastle,"Mesquite, TX 75150",1FTFW1R6XEFC71822,"85,500",Truck,6.2L V8,4WD/AWD,Automatic (6-Speed),Tuxedo Black Metallic,Brick Red/Black,Clean (TX),Private Party,"$33,250",Has reserve,"[('411', '')]",['434']
2010,Ford,F-150 SVT Raptor,MondoWisco1,"Menasha, WI 54952",1FTEX1E65AFD77037,"102,200",Truck,6.2L Supercharged V8,4WD/AWD,Automatic (6-speed),Molten Orange,Orange and Black,Clean (WI),Private Party,"$32,000",Has reserve,"[('411', '')]",['434']
2013,Ford,F-150 SVT Raptor,Max_K,"North Manchester, IN 46962",1FTFW1R60DFD31833,"130,100",Truck,6.2L V8,4WD/AWD,Automatic (6-Speed),Oxford White,Black,Clean (MT),Private Party,"$28,888",Has reserve,"[('411', '')]",['434']
2011,Ford,F-150 SVT Raptor,liv,"Heeney, CO 80498",1FTFW1R61BFD01818,"80,800",Truck,6.2L V8,4WD/AWD,Automatic (6-Speed),White,Black,Clean (CO),Private Party,"$26,950",Has reserve,"[('411', '')]",['434']
2014,Ford,Mustang,grandprix231,"Allison Park, PA 15101",1ZVBP8CF0E5263017,"9,800",Coupe,5.0L V8,Rear-wheel drive,Manual (6-speed),Oxford White,Charcoal Black,Clean (PA),Private Party,"$26,500",Has reserve,"[('412', '')]",['390']
2002,Porsche,911 Turbo,sellmeanother1975,"Kentwood, MI 49512",WP0AB29992S687594,"51,800",Coupe,3.6L Twin Turbo Flat-6,4WD/AWD,Manual (6-Speed),Arctic Silver Metallic,Graphite Grey,Clean (MI),Dealer (GR Auto Gallery),"$50,500",Has reserve,"[('414', '')]",415 
2001,Porsche,911 Turbo,stainlesssteve,"Bonney Lake, WA 98391",WP0AB299X1S686629,"55,200",Coupe,3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-speed),Seal Grey Metallic,Graphite Grey,Clean (WA),Private Party,"$45,000",Has reserve,"[('414', '')]",413 
2013,BMW,M3,Stigna,"Irvine, CA 92620",WBSKG9C57DJ592960,"36,158",Coupe,4.0L V8,Rear-wheel drive,Manual (6-speed),Alpine White,Black and Gray,Clean (CA),Private Party,"$44,222",Has reserve,"[('414', '')]",295 
2013,BMW,M3,MattLavoie70,"Canton, MA 02021",WBSKG9C5XDJ594962,"65,500",Coupe,4.0L V8,Rear-wheel drive,Manual (6-Speed),Space Gray Metallic,Fox Red and Black,Clean (MA),Private Party,"$34,000",Has reserve,"[('414', '')]",['295']
2011,BMW,M3,20minRingTime,"Seattle, WA 98115",WBSPM9C52BE203792,"46,688",Sedan,4.0L V8,Rear-wheel drive,Automatic (7-speed),Silverstone II Metallic,Gray,Clean (WA),Private Party,"$30,500",Has reserve,"[('414', '')]",[]
2012,BMW,M3,dave3065,"Del Monte Forest, CA 93953",WBSDX9C50CE784592,"37,000",Convertible,4.4L V8,Rear-wheel drive,Manual (6-speed),Space Gray Metallic,Palladium Silver/Black,Clean (CA),Private Party,"$29,222",Has reserve,"[('414', '')]",295 
2011,BMW,M3,ocozzi,"Westchase, FL 33626",WBSPM9C51BE699054,"43,600",Sedan,4.0L V8,Rear-wheel drive,Automatic (7-speed),Space Gray Metallic,Black and Gray,Clean (FL),Private Party,"$26,333",Has reserve,"[('414', '')]",[]
2011,BMW,M3,Code_Monkey,"Marietta, GA 30068",WBSDX9C53BE584997,"54,500",Convertible,4.0L V8,Rear-wheel drive,Automatic (7-speed),Le Mans Blue Metallic,Bamboo Beige,Clean (GA),Private Party,"$25,000",Has reserve,"[('414', '')]",295
2009,BMW,M3,meh,"Ramsey, NJ 07446",WBSWD93559PY43554,"63,800",Coupe,4.0L V8,Rear-wheel drive,Automatic (7-Speed),Space Gray Metallic,Palladium Silver,Clean (NJ),Private Party,"$23,000",Has reserve,"[('414', '')]",['295']
2010,BMW,M3,BIMMER_MAN,"Arlington, VA 22205",WBSPM9C59AE202332,"49,900",Sedan,4.0L V8,Rear-wheel drive,Automatic (7-Speed),Alpine White,Black,Clean (VA),Private Party,"$22,400",Has reserve,"[('414', '')]",['295']
2009,BMW,M3,hosam9551,"Andover, MN 55304",WBSWD93529P362001,"69,900",Coupe,4.0L V8,Rear-wheel drive,Manual (6-Speed),Alpine White,Black,Clean (MN),Private Party,"$18,400",Has reserve,"[('414', '')]",['295']
2011,BMW,M3,cbeamer,"Katy, TX 77494",WBSPM9C55BE203253,"127,400",Sedan,4.0L V8,Rear-wheel drive,Automatic (7-speed),Jerez Black Metallic,Black,Lein (TX),Private Party,"$16,800",Has reserve,"[('414', '')]",[]
2008,BMW,M3,Brady287,"Longview, TX 75605",WBSVA93558E215489,"160,600",Sedan,4.0L V8,Rear-wheel drive,Manual (6-Speed),Silverstone Metallic,Black,Clean (TX),Private Party,"$16,100",No reserve,"[('414', '')]",['295']
2017,Chevrolet,SS,rvgr,"Sugar Land, TX 77479",6G3F25RW8HL300262,"9,200",Sedan,6.2L V8,Rear-wheel drive,Manual (6-Speed),Heron White,Jet Black,Clean (TX),Private Party,"$40,000",Has reserve,"[('415', '')]",['415']
2015,Chevrolet,SS,cborel86,"Boyce, VA 22620",6G3F25RW8FL108305,"20,691",Sedan,6.2L V8,Rear-wheel drive,Manual (6-speed),Some Like It Hot Red,Black,Clean (VA),Private Party,"$33,500",Has reserve,"[('415', '')]",563
2016,Chevrolet,SS,Scott1986,"Watertown Township, MI 48820",6G3F15RW7GL203328,"18,800",Sedan,6.2L V8,Rear-wheel drive,Automatic (6-Speed),Phantom Black,Jet Black,Clean (MI),Private Party,"$30,750",Has reserve,"[('415', '')]",['415']
2015,Mercedes-Benz,SLK55 AMG,SMD001,"Warren, OH 44483",WDDPK7FAXFF098435,"46,200",Convertible,5.5L V8,Rear-wheel drive,Automatic (7-Speed),Polar White,Black and Deep White,Clean (OH),Private Party,"$30,000",Has reserve,"[('415', '')]",['398']
2001,Porsche,911,Mhoram,"Ben Lomond, CA 95005",WP0AB29951S686831,"132,400",Coupe,3.6L Flat-6,4WD/AWD,Automatic (5-Speed),Orient Red Metallic,Natural Grey,Clean (CA),Private Party,"$27,000",Has reserve,"[('415', '')]",['413']
2009,Pontiac,G8,KnightSS,"Elgin, IL 60124",6G2EP57WX9L308742,"59,400",Sedan,6.2L V8,Rear-wheel drive,Manual (6-speed),White Hot,Black,Clean (IL),Private Party,"$25,500",Has reserve,"[('415', '')]",['451']
2015,Porsche,Cayenne,dallasmotorclub,"Fort Worth, TX 76119",WP1AE2A21FLA52521,"58,900",SUV/Crossover,3.0L Supercharged V6,4WD/AWD,Automatic (8-Speed),Carrara White Metallic,Black,Clean (KY),Dealer,"$38,888",Has reserve,"[('416', '')]",406 
2016,Porsche,Cayenne,dallasmotorclub,"Fort Worth, TX 76119",WP1AE2A2XGLA63003,"53,200",SUV/Crossover,3.0L Supercharged Hybrid V6,4WD/AWD,Automatic (8-Speed), Jet Black Metallic,Black,Clean (TX),Dealer,"$31,000",Has reserve,"[('416', '')]",['435']
2015,Porsche,Cayenne,CAYENNESE,"Haymarket, VA 20169",WP1AE2A25FLA52540,"69,000",SUV/Crossover,3.0L Supercharged Hybrid V6,4WD/AWD,Automatic (8-speed),Carrera White Metallic,Black,Clean (VA),Private Party,"$25,777",Has reserve,"[('416', '')]",['435']
2008,Audi,R8,hookem62,"San Francisco, CA 94117",WUAAU34238N001568,"9,100",Coupe,4.2L V8,4WD/AWD,Automatic (6-speed),Daytona Gray Pearl Effect,Black,Clean (CA) ,Private Party,"$63,154",Has reserve,"[('420', '')]",['317']
2009,Aston Martin,V8 Vantage,C4igunner,"Chula Vista, CA 91914",SCFBF04C09GD11903,"12,900",Convertible,4.7L V8,Rear-wheel drive,Automatic (6-speed),Mendip Blue,Cream Truffle/Caspian Blue,Clean (CA),Private Party,"$55,000",Has reserve,"[('420', '')]",['347']
2016,Porsche,Panamera,ferhrevilo,"Hampden, ME 04444",WP0AB2A70GL050881,"36,700",Sedan,Turbocharged 3.0L V6,4WD/AWD,Automatic (7-speed),Night Blue Metallic,Agate Grey,Clean (ME),Private Party (Lien on title),"$41,750",Has reserve,"[('420', '')]",['384']
2002,Aston Martin,DB7,ThePhotographersGarage,"Martinez, CA 94553",SCFAB42312K403247,"14,300",Convertible,5.9L V12,Rear-wheel drive,Manual (6-Speed),Grigio Titanio,Pacific Blue/Light Grey,Clean (CA),Private Party,"$30,600",Has reserve,"[('420', '')]",['400']
2008,Audi,RS 4,RS4,"Spring Grove, IL 60081",WUAYU48HX8K800123,"47,400",Convertible,4.2L V8,4WD/AWD,Manual (6-speed),Phantom Black Pearl ,Black,Clean (IL),Private Party,"$30,100",Has reserve,"[('420', '')]",['317']
2007,Audi,RS 4,Chriscat415,"Stratford, CT 06615",WUARU98E17N901815,"135,500",Sedan,4.2L V8,4WD/AWD,Manual (6-speed),Black,Black,Clean (CT),Private Party,"$20,059",Has reserve,"[('420', '')]",['317']
2007,Audi,RS 4,flatplane,"San Diego, CA 92131",WUARU78E17N901656,"113,400",Sedan,4.2L V8,4WD/AWD,Manual (6-Speed),Sprint Blue,Black,Clean (UT),Private Party,"$20,004",Has reserve,"[('420', '')]",['317']
2008,Audi,RS 4,Ljglawe,"Circle Pines, MN 55014",WUADU78E48N900352,"133,900",Sedan,4.2L V8,4WD/AWD,Manual (6-Speed),Daytona Grey,Black,Clean (MN),Private Party,"$18,000",Has reserve,"[('420', '')]",['317']
2008,BMW,M3,EuroasianBob,"Wichita, KS 67219",WBSWL93518P330027,"98,900",Convertible,4.0L V8,Rear-wheel drive,Manual (6-speed),Space Grey Metallic,Black,Clean (KS),Dealer,"$17,200",Has reserve,"[('420', '')]",['295']
2007,Audi,RS 4,qualitymotors,"Toronto, ON, Canada",WUARU78E37N901643,"127,500",Sedan,4.2L V8,4WD/AWD,Manual (6-Speed),Daytona Gray Pearl,Black,Clean (Ontario),Dealer,"$10,000",Has reserve,"[('420', '')]",['317']
2008,Jaguar,XKR,ChristianE,"Austin, TX 78748",SAJWA43C489B23235,"74,800",Coupe,4.2L Supercharged V8,Rear-wheel drive,Automatic (6-Speed),Emerald Fire Green,Caramel,Clean (TX),Private Party,"$9,500",Has reserve,"[('420', '')]",['413']
2016,BMW,M4,Spidey1,"Knoxville, TN 37922",WBS3R9C56GK338296,"14,000",Coupe,3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Yas Marina Blue,Black,Clean (TN),Private Party,"$49,000",Has reserve,"[('425', '')]",['406']
2015,BMW,M4,dresplace77,"Basking Ridge, NJ 07920",WBS3R9C5XFK334282,"54,100",Coupe,3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Yas Marina Blue,Silverstone,Clean (PA),Private Party,"$33,000",Has reserve,"[('425', '')]",['406']
2015,BMW,M4,Joseph123,"Harbor City, CA 90710",WBS3U9C56FJ968564,"34,000",Convertible,3.0L Turbocharged I6,Rear-wheel drive,Automatic (7-Speed),Austin Yellow Metallic,Black,Clean (CA),Private Party,"$32,444",Has reserve,"[('425', '')]",['406']
2006,Chrysler,300,kb13,"Hamilton, OH 45011",2C3LA73W96H189260,"131,100",Sedan,6.1L V8,Rear-wheel drive,Automatic (5-Speed),Gray,Black,Clean (OH),Private Party,"$7,000",No reserve,"[('425', '')]",['420']
2014,Hyundai,Equus,cirruspilot,"Myrtle Beach, SC 29572",KMHGH4JH1EU079533,"39,200",Sedan,5.0L V8,Rear-wheel drive,Automatic (8-Speed),White Frost,Saddle Brown,Clean (SC),Private Party,"$16,888",No reserve,"[('429', '')]",['376']
2014,Audi,R8,Jamiran,"Houston, TX 77025",WUAAUAFG4EN000714,"13,700",Coupe,4.2L V8,4WD/AWD,Automatic (7-speed),Ice Silver Metallic,Black,Clean (TX),Private Party,"$74,500",Has reserve,"[('430', '')]",['317']
2007,Audi,S6,Aktapod,"Dublin, OH 43016",WAUGN74F57N051088,"128,885",Sedan,5.2L V10,4WD/AWD,Automatic (6-speed),Quartz Gray Metallic,Black,Clean,Private Party,"$7,900",No reserve,"[('430', '')]",400
2011,Maserati,GranTurismo,Goodfellas_Garage,"Fort Lauderdale, FL 33309",ZAM45KLA4B0059571,"11,700",Coupe,4.7L V8,Rear-wheel drive,Automatic (6-Speed),Grigio Touring,Black,Clean,Dealer,"$29,250",Has reserve,"[('433', '')]",['361']
2004,BMW,760Li,aioncescu,"Pompano Beach, FL 33076",WBAGN83554DK11096,"48,600",Sedan,6.0L V12,Rear-wheel drive,Automatic (6-speed),Sterling Gray,Black,Clean (FL),Private Party,"$9,300",Has reserve,"[('438', '')]",['444']
2017,BMW,M3,dougie,"Ann Arbor, MI 48105",WBS8M9C59H5G84401,"13,800",Sedan,3.0L Turbocharged I6,Rear-wheel drive,Manual (6-speed),Mineral Gray Metallic,Black,Clean (MI),Private Party,"$50,750",Has reserve,"[('444', '')]",['406']
2013,Ford,Mustang,jameskristich,"Medford, OR 97501",1ZVBP8CU3D5267348,"24,800",Coupe,5.0L V8,Rear-wheel drive,Manual (6-speed),Grabber Blue,Black,Clean,Private Party,"$31,000",Has reserve,"[('444', '')]",['380']
2005,Audi,A8,LincolnAMG,"Waltham, MA 02451",WAUMR44E65N015999,"144,800",Sedan,6.0L W12,4WD/AWD,Automatic (6-speed),Brilliant Black ,Sand Beige,Clean (MA),Private Party,"$9,555",No reserve,"[('444', '')]",['428']
2017,BMW,X5,SoccerDad,"Alpharetta, GA 30004",5UXKR6C50H0J83905,"88,200",SUV/Crossover,4.4L V8,4WD/AWD,Automatic (8-Speed),Space Gray,Black,Clean (GA),Private Party,"$25,250",Has reserve,"[('445', ''), ('60', '')]",['480']
2020,GMC,Sierra,JCC5,"Rio Rancho, NM 87124",1GT49PEY4LF160222,"11,200",Truck,6.6L Turbodiesel V8,4WD/AWD,Automatic (10-Speed),Onyx Black,Jet Black/Kalahari,Clean (NM),Private Party,"$58,056",Has reserve,"[('445', '')]",['910']
2016,BMW,550i,ldawson7777,"San Diego, CA 92120",WBAKN9C57GD962138,"24,000",Sedan,4.4L Turbocharged V8,Rear-wheel drive,Automatic (8-speed),Black,Black,Clean (CA),Private Party,"$29,500",Has reserve,"[('445', '')]",['485']
2013,BMW,650i Gran Coupe,smb127,"Peoria, IL 61615",WBA6B4C51DD098292,"84,000",Sedan,4.4L Turbocharged V8,4WD/AWD,Automatic (8-Speed),Mexico Blue,Black,Clean (IL),Private Party,"$13,500",Has reserve,"[('445', '')]",['480']
2017,Mercedes-Benz,S550,pinmaniac,"Jacksonville, FL 32207",WDDXK8CB0HA026789,"35,500",Convertible,4.6L Turbocharged V8,Rear-wheel drive,Automatic (9-speed), Magno Allanite Gray, Designo Red,Clean (CA),Dealer,"$62,500",Has reserve,"[('449', '')]",['516']
2006,Aston Martin,DB9,Lmartell,"Wauwatosa, WI 53226",SCFAD02A36GB04971,"1,600",Convertible,5.9L V12,Rear-wheel drive,Automatic (6-Speed),Grigio Alloy,Rosso,Clean (WI),Private Party,"$50,000",Has reserve,"[('450', '')]",['420']
2019,Tesla,Model 3,rotaryboy,"Irving, TX 75038",5YJ3E1EB8KF413478,"14,500",Sedan,EV,4WD/AWD,Automatic (1-Speed),Midnight Silver Metallic,Black,Clean (TX),Private Party,"$47,250",No reserve,"[('450', '')]",['471']
2006,Aston Martin,DB9,MRD,"Rancho Mirage, CA 92270",SCFAD02A66GB04088,"23,300",Convertible,5.9L V12,Rear-wheel drive,Automatic (6-Speed),Platinum,Black,Clean (CA),Private Party,"$35,750",Has reserve,"[('450', '')]",['420']
